#
# Charmm Parameters from CHARMM22
#
# $Id: radii.dat,v 1.3 2005/07/20 15:03:00 johns Exp $
#
1MC	C1	-0.27	1.90	-0.07
1MC	C2	0.52	1.9000	-0.09
1MC	C4	0.65	1.8000	-0.18
1MC	C5	-0.13	1.9000	-0.09
1MC	C6	0.05	1.9000	-0.09
1MC	H11	0.09	1.85	-0.20
1MC	H12	0.09	1.85	-0.20
1MC	H13	0.09	1.85	-0.20
1MC	H41	0.37	0.9000	-0.046
1MC	H42	0.33	0.9000	-0.046
1MC	H5	0.07	0.2245	-0.046
1MC	H6	0.17	0.2245	-0.046
1MC	N1	-0.13	1.85	-0.20
1MC	N3	-0.66	1.85	-0.20
1MC	N4	-0.75	1.85	-0.20
1MC	O2	-0.49	1.77	-0.152
1MT	C1	-0.27	1.90	-0.07
1MT	C2	0.51	1.8000	-0.18
1MT	C4	0.50	1.9000	-0.09
1MT	C5	-0.15	2.275	-0.02
1MT	C5M	-0.11	1.90	-0.07
1MT	C6	0.17	1.9000	-0.09
1MT	H11	0.09	1.85	-0.20
1MT	H12	0.09	1.85	-0.20
1MT	H13	0.09	1.85	-0.20
1MT	H3	0.36	1.3582	-0.03
1MT	H51	0.07	1.85	-0.20
1MT	H52	0.07	1.85	-0.20
1MT	H53	0.07	1.85	-0.20
1MT	H6	0.17	0.2245	-0.046
1MT	N1	-0.34	1.85	-0.20
1MT	N3	-0.46	1.85	-0.20
1MT	O2	-0.41	1.70	-0.120
1MT	O4	-0.45	1.70	-0.120
1MU	C1	-0.27	1.90	-0.07
1MU	C2	0.55	1.8000	-0.18
1MU	C4	0.53	1.9000	-0.09
1MU	C5	-0.15	1.9000	-0.09
1MU	C6	0.20	1.9000	-0.09
1MU	H11	0.09	1.85	-0.20
1MU	H12	0.09	1.85	-0.20
1MU	H13	0.09	1.85	-0.20
1MU	H3	0.36	1.3582	-0.03
1MU	H5	0.10	0.2245	-0.046
1MU	H6	0.14	0.2245	-0.046
1MU	N1	-0.34	1.85	-0.20
1MU	N3	-0.46	1.85	-0.20
1MU	O2	-0.45	1.70	-0.120
1MU	O4	-0.48	1.70	-0.120
25P1	1C2'	0.01	2.010	-0.056
25P1	1C3'	-0.18	2.08	-0.064
25P1	1H2''	0.09	1.26	-0.026
25P1	1H3'	0.09	1.85	-0.20
25P1	1H3''	0.09	1.85	-0.20
25P1	1O2'	-0.55	1.77	-0.152
25P1	2C5'	-0.08	1.9924	-0.07
25P1	2H5'	0.09	1.85	-0.20
25P1	2H5''	0.09	1.85	-0.20
25P1	2O1P	-0.80	1.77	-0.152
25P1	2O2P	-0.80	1.77	-0.152
25P1	2O5'	-0.55	1.77	-0.152
25P1	2P	1.50	2.27	-0.150
25P2	1C2'	0.01	2.010	-0.056
25P2	1C3'	-0.18	2.08	-0.064
25P2	1H2''	0.09	1.26	-0.026
25P2	1H3'	0.09	1.85	-0.20
25P2	1H3''	0.09	1.85	-0.20
25P2	1O2'	-0.55	1.77	-0.152
25P2	2C5'	-0.08	2.08	-0.064
25P2	2H5'	0.09	1.85	-0.20
25P2	2H5''	0.09	1.85	-0.20
25P2	2O1P	-0.80	1.77	-0.152
25P2	2O2P	-0.80	1.77	-0.152
25P2	2O5'	-0.55	1.77	-0.152
25P2	2P	1.50	2.27	-0.150
3PHO	C3'	0.01	2.010	-0.056
